TEMP,pvdd,Cqload,Lmin,Wmin,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p,delay_nodea,delay_nodeb
46.31943036830701,0.9208564176048792,3.633044329246219,4.944448915105173e-08,2.4291917531034756e-07,1.2237775242828604e-09,1.2393459725255635e-09,1.2891351074667611e-09,1.049570630998133e-09,1.4661278850626429e-08,3.31601593633468e+18,1.3263215520831083e-09,1.221232545938741e-09,1.3081668261409216e-09,1.0230375799601107e-09,1.3962163875512708e-08,2.464690692734567e+18,2.4160605e-11,2.1447699999999998e-11
14.319261619886774,1.0818932309610494,0.8892947610171952,4.804966124317526e-08,2.5617230828135804e-07,1.1818891643817092e-09,1.2580978820898171e-09,1.251744592814224e-09,9.70309194151141e-10,1.3178166679199456e-08,3.047291549123158e+18,1.2598594605565436e-09,1.249664201897556e-09,1.2408698328793648e-09,1.0212275532947808e-09,1.4421670186558081e-08,2.5140090656730803e+18,1.354631e-11,1.1315395e-11
106.23708058989943,1.018590355415198,2.474883222926393,4.8715394872417416e-08,2.541469133164205e-07,1.2689028604574331e-09,1.2368506743696716e-09,1.2776114414184358e-09,9.885236353521978e-10,1.3524042817393312e-08,3.3042221098708337e+18,1.2763598121163971e-09,1.247050519734021e-09,1.3322030779914747e-09,9.686016033879484e-10,1.4423567059924332e-08,2.356263487521861e+18,1.8007075000000002e-11,1.5578930000000002e-11
78.64052841711373,0.9667276961912749,2.2362747819976034,4.742815678711131e-08,2.518000002025089e-07,1.192485409118087e-09,1.2120463761318962e-09,1.2649513046038642e-09,9.47998546617886e-10,1.4715578504499636e-08,3.2321928571651154e+18,1.2712908029240395e-09,1.3056139937730743e-09,1.290028764115404e-09,1.0324053208209722e-09,1.4423622138273818e-08,2.2510764228963471e+18,1.777198e-11,1.5392225e-11
97.16663016566308,1.0784664580513137,2.2711784260130203,4.433584380288687e-08,2.480995276484163e-07,1.192257251841518e-09,1.207501408186172e-09,1.2971355233429287e-09,1.027112156986623e-09,1.4244669123015429e-08,3.293525030497375e+18,1.2984985628162131e-09,1.2559802443856761e-09,1.2528566130749895e-09,9.542774870278591e-10,1.2667896379793628e-08,2.404724576811896e+18,1.3445229999999999e-11,1.150931e-11
89.82506769226336,1.079020917447139,0.6172031320788172,4.555400493276103e-08,2.6005169757391926e-07,1.2312248637319072e-09,1.270021994810422e-09,1.2924870569439859e-09,1.0217154844958656e-09,1.3871668872064184e-08,3.418381936406849e+18,1.2784534664902495e-09,1.3123254261697806e-09,1.2994078069237971e-09,9.835426391832608e-10,1.4217269130270998e-08,2.419857923414266e+18,1.149334e-11,9.504961e-12
-31.238427342955447,0.9834929125246176,2.8580990637721726,4.616299353274642e-08,2.3543279296275882e-07,1.3007048581919883e-09,1.285140993405254e-09,1.1720686430058854e-09,1.0145169782918494e-09,1.3723322350567829e-08,3.244230634908609e+18,1.2590310225061014e-09,1.3057617497213824e-09,1.2917981700151336e-09,1.0449395270703516e-09,1.389199423044716e-08,2.420818707357389e+18,1.7916714999999998e-11,1.5648885e-11
67.68344178220306,0.9777957013646704,2.4106669356354704,4.74454591391905e-08,2.334038935232147e-07,1.2537201389614488e-09,1.295343385894853e-09,1.2361522746099542e-09,1.0358006575661035e-09,1.3555483254174464e-08,3.3056571977497687e+18,1.256883509256593e-09,1.2791572196858264e-09,1.3593767956844558e-09,1.1218469345012615e-09,1.445362437321575e-08,2.33765590143801e+18,1.8267465000000002e-11,1.5887085e-11
-13.67771643692759,0.9636599828555528,2.024443505181928,4.560469469245741e-08,2.3825304741508171e-07,1.291096913974814e-09,1.2311444179996583e-09,1.223242446631789e-09,9.666853553871015e-10,1.4239258534613938e-08,3.034309847038846e+18,1.294591904960581e-09,1.244780733026463e-09,1.342085742723029e-09,1.0021873902841392e-09,1.4087984886958624e-08,2.434952001590267e+18,1.629012e-11,1.4075935e-11
90.5443353802316,1.0429247258522174,0.9726803349010644,4.767207808477922e-08,2.551592119452466e-07,1.289070753358332e-09,1.2327187911480523e-09,1.225732402621382e-09,9.949177549998651e-10,1.4970881798657176e-08,3.1964504014377247e+18,1.264508584039802e-09,1.3141821635012274e-09,1.2083589196691866e-09,9.933283169390623e-10,1.3367111852148656e-08,2.437843235158803e+18,1.4094175e-11,1.184437e-11
